Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
TBJL,748,0,0.00,0,0.00,18.24,748,0
NAPR,745,0,0.00,0,0.00,42.48,745,0
BBRE,697,0,0.00,0,0.00,78.43,697,0
GDMN,688,0,0.00,0,0.00,22.90,688,0
RSBT,676,0,0.00,0,0.00,17.67,656,20
BJUL,673,0,0.00,0,0.00,34.95,673,0
HYGW,670,0,0.00,0,0.00,33.87,669,1
XSHD,670,0,0.00,0,0.00,14.67,670,0
RTAI,660,0,0.00,0,0.00,18.12,660,0
FAUG,655,0,0.00,0,0.00,37.95,655,0
KRUZ,652,0,0.00,0,0.00,24.91,652,0
XBJL,627,0,0.00,0,0.00,28.91,627,0
DWLD,611,0,0.00,0,0.00,27.83,611,0
UMAY,601,0,0.00,0,0.00,27.98,601,0
HFGO,599,0,0.00,0,0.00,14.96,599,0
DUSA,598,0,0.00,0,0.00,32.00,598,0
GFEB,597,0,0.00,0,0.00,31.16,597,0
UAPR,591,0,0.00,0,0.00,26.13,591,0
PBTP,575,0,0.00,0,0.00,24.50,575,0
LEAD,574,0,0.00,0,0.00,55.83,574,0
FJAN,569,0,0.00,0,0.00,37.12,569,0
TOLL,560,0,0.00,0,0.00,25.00,560,0
LQDI,559,0,0.00,0,0.00,24.46,559,0
XDEC,558,0,0.00,0,0.00,33.20,558,0
BLKC,550,0,0.00,0,0.00,12.67,550,0
SMAY,550,0,0.00,0,0.00,20.21,550,0
TRTY,541,0,0.00,0,0.00,24.30,541,0
TTAI,539,0,0.00,0,0.00,26.78,539,0
DECZ,529,0,0.00,0,0.00,30.27,529,0
DALT,516,0,0.00,0,0.00,8.53,516,0
KOCT,508,0,0.00,0,0.00,25.38,508,0
DDWM,505,0,0.00,0,0.00,30.57,505,0
TMAT,502,0,0.00,0,0.00,13.45,502,0
MDLV,500,0,0.00,0,0.00,22.73,500,0
NJUL,500,0,0.00,0,0.00,51.74,500,0
RPHS,494,0,0.00,0,0.00,8.72,494,0
USEP,470,0,0.00,0,0.00,29.63,470,0
BAUG,468,0,0.00,0,0.00,33.52,468,0
QMAR,468,0,0.00,0,0.00,24.50,468,0
IVVB,462,0,0.00,0,0.00,24.76,462,0
XDSQ,462,0,0.00,0,0.00,28.06,462,0
GDE,454,0,0.00,0,0.00,24.34,454,0
NANC,446,0,0.00,0,0.00,27.55,446,0
BNOV,441,0,0.00,0,0.00,33.39,441,0
BOSS,433,0,0.00,0,0.00,26.27,433,0
ICLO,432,0,0.00,0,0.00,25.62,432,0
WDNA,430,0,0.00,0,0.00,14.75,430,0
ENOR,426,0,0.00,0,0.00,23.36,426,0
HYXU,425,0,0.00,0,0.00,45.96,425,0
ZALT,425,0,0.00,0,0.00,25.86,425,0
QUVU,405,0,0.00,0,0.00,21.90,405,0
BUSA,401,0,0.00,0,0.00,25.59,401,0
HELX,400,0,0.00,0,0.00,27.74,400,0
YSEP,400,0,0.00,0,0.00,19.24,400,0
JULJ,397,0,0.00,0,0.00,24.79,397,0
XBJA,395,0,0.00,0,0.00,25.02,395,0
HCRB,380,0,0.00,0,0.00,32.88,380,0
BFEB,378,0,0.00,0,0.00,33.89,378,0
DOCT,378,0,0.00,0,0.00,35.37,378,0
TFJL,373,0,0.00,0,0.00,19.01,373,0
KJAN,348,0,0.00,0,0.00,30.24,348,0
SUPP,336,0,0.00,0,0.00,50.22,336,0
MOTI,330,0,0.00,0,0.00,29.63,330,0
DFEB,322,0,0.00,0,0.00,35.35,322,0
IQM,321,0,0.00,0,0.00,44.78,321,0
IMOM,318,0,0.00,0,0.00,24.52,318,0
RMIF,316,0,0.00,0,0.00,24.98,316,0
QLC,302,0,0.00,0,0.00,48.83,102,200
SJIM,301,0,0.00,0,0.00,23.52,301,0
GJAN,300,0,0.00,0,0.00,32.69,300,0
IBMM,300,0,0.00,0,0.00,25.72,300,0
BSMC,290,0,0.00,0,0.00,25.12,290,0
UJUN,288,0,0.00,0,0.00,28.60,288,0
WBAT,288,0,0.00,0,0.00,28.55,288,0
FDEM,287,0,0.00,0,0.00,22.25,287,0
SDVD,280,0,0.00,0,0.00,18.49,280,0
GVAL,273,0,0.00,0,0.00,19.37,273,0
VAMO,271,0,0.00,0,0.00,26.04,271,0
BBEM,258,0,0.00,0,0.00,46.57,258,0
FAPR,257,0,0.00,0,0.00,32.75,257,0
XDAT,250,0,0.00,0,0.00,18.57,250,0
DWAT,248,0,0.00,0,0.00,9.75,248,0
EFAD,247,0,0.00,0,0.00,34.45,247,0
FLV,247,0,0.00,0,0.00,56.97,247,0
DMAR,245,0,0.00,0,0.00,32.50,245,0
QDEC,239,0,0.00,0,0.00,22.92,239,0
UMAR,239,0,0.00,0,0.00,30.19,239,0
EMDV,230,0,0.00,0,0.00,42.44,230,0
VFMV,225,0,0.00,0,0.00,97.67,225,0
UJAN,221,0,0.00,0,0.00,33.06,221,0
QMOM,211,0,0.00,0,0.00,42.40,211,0
ADFI,210,0,0.00,0,0.00,8.15,210,0
APRJ,210,0,0.00,0,0.00,24.61,210,0
BJAN,205,0,0.00,0,0.00,37.41,205,0
BSEP,203,0,0.00,0,0.00,34.12,203,0
PSCQ,202,0,0.00,0,0.00,22.85,202,0
LKOR,201,0,0.00,0,0.00,39.15,201,0
DBJA,200,0,0.00,0,0.00,28.87,200,0
EAOA,200,0,0.00,0,0.00,29.48,200,0
ROYA,200,0,0.00,0,0.00,25.11,200,0
ESG,199,0,0.00,0,0.00,107.27,199,0
XAUG,195,0,0.00,0,0.00,30.00,195,0
FUNL,174,0,0.00,0,0.00,33.78,174,0
DURA,173,0,0.00,0,0.00,29.99,173,0
VEGN,171,0,0.00,0,0.00,39.11,171,0
DMAY,166,0,0.00,0,0.00,34.29,166,0
UNOV,161,0,0.00,0,0.00,30.74,161,0
DFNV,158,0,0.00,0,0.00,25.60,158,0
JCPI,155,0,0.00,0,0.00,45.02,155,0
TOKE,155,0,0.00,0,0.00,5.54,155,0
ISVL,150,0,0.00,0,0.00,29.99,150,0
STOT,150,0,0.00,0,0.00,46.37,150,0
HYBL,148,0,0.00,0,0.00,27.26,148,0
GMAY,147,0,0.00,0,0.00,31.23,147,0
IEDI,147,0,0.00,0,0.00,38.61,147,0
FPFD,139,0,0.00,0,0.00,19.46,139,0
FLQS,132,0,0.00,0,0.00,34.13,132,0
KAPR,128,0,0.00,0,0.00,26.44,28,100
MAGA,128,0,0.00,0,0.00,38.22,128,0
EMTL,125,0,0.00,0,0.00,39.47,125,0
WEED,121,0,0.00,0,0.00,29.51,121,0
BBSA,117,0,0.00,0,0.00,46.62,117,0
EDEN,112,0,0.00,0,0.00,101.36,112,0
SHAG,107,0,0.00,0,0.00,46.27,107,0
CSM,106,0,0.00,0,0.00,49.70,106,0
RDFI,106,0,0.00,0,0.00,20.76,106,0
UJUL,106,0,0.00,0,0.00,28.64,106,0
SPMV,105,0,0.00,0,0.00,36.69,105,0
LOCT,104,0,0.00,0,0.00,23.89,104,0
XDAP,104,0,0.00,0,0.00,28.63,104,0
KWT,103,0,0.00,0,0.00,29.64,103,0
PEX,103,0,0.00,0,0.00,26.00,103,0
RYSE,103,0,0.00,0,0.00,32.28,103,0
VWID,103,0,0.00,0,0.00,25.10,103,0
IBHJ,101,0,0.00,0,0.00,24.23,101,0
QPFF,101,0,0.00,0,0.00,33.58,101,0
APRD,100,0,0.00,0,0.00,24.71,100,0
